"Code","species","NumAgeClassSize","agecl","length.ref","yr.upper","ref.year","new.length.ref"
"SCU","Scup",2,8,41.68312346,16,15,41.44465763
"SCU","Scup",2,9,41.9695188,18,17,41.82632113
"SCU","Scup",2,10,42.14149795,20,19,42.055508375
"SB","Seabirds",2,1,21.1125783,2,1,10.55628915
"SB","Seabirds",2,2,23.33782768,4,3,22.22520299
"SB","Seabirds",2,3,23.57236724,6,5,23.45509746
"SB","Seabirds",2,4,23.59708753,8,7,23.584727385
"SB","Seabirds",2,5,23.59969303,10,9,23.59839028
"SB","Seabirds",2,6,23.59996765,12,11,23.59983034
"SB","Seabirds",2,7,23.59999659,14,13,23.59998212
"SB","Seabirds",2,8,23.59999964,16,15,23.599998115
"SB","Seabirds",2,9,23.59999996,18,17,23.5999998
"SB","Seabirds",2,10,23.6,20,19,23.59999998
"FDE","Shallow demersal fish",1,1,17.37704361,1,0.5,8.688521805
"FDE","Shallow demersal fish",1,2,27.05098404,2,1.5,22.214013825
"FDE","Shallow demersal fish",1,3,32.43654476,3,2.5,29.7437644
"FDE","Shallow demersal fish",1,4,35.43472988,4,3.5,33.93563732
"FDE","Shallow demersal fish",1,5,37.10384373,5,4.5,36.269286805
"FDE","Shallow demersal fish",1,6,38.03305289,6,5.5,37.56844831
"FDE","Shallow demersal fish",1,7,38.55035112,7,6.5,38.291702005
"FDE","Shallow demersal fish",1,8,38.83833523,8,7.5,38.694343175
"FDE","Shallow demersal fish",1,9,38.9986583,9,8.5,38.918496765
"FDE","Shallow demersal fish",1,10,39.08791145,10,9.5,39.043284875
"SHK","Silver hake",1,1,10.77332817,1,0.5,5.386664085
"SHK","Silver hake",1,2,19.77196827,2,1.5,15.27264822
"SHK","Silver hake",1,3,27.28826429,3,2.5,23.53011628
"SHK","Silver hake",1,4,33.56640246,4,3.5,30.427333375
"SHK","Silver hake",1,5,38.81034425,5,4.5,36.188373355
"SHK","Silver hake",1,6,43.19045262,6,5.5,41.000398435
"SHK","Silver hake",1,7,46.84902667,7,6.5,45.019739645
"SHK","Silver hake",1,8,49.90492458,8,7.5,48.376975625
"SHK","Silver hake",1,9,52.45742508,9,8.5,51.18117483
"SHK","Silver hake",1,10,54.58945271,10,9.5,53.523438895
"SWH","Small toothed whales",7,1,271.5321687,7,3.5,135.76608435
"SWH","Small toothed whales",7,2,271.779774,14,10.5,271.65597135
"SWH","Small toothed whales",7,3,271.7799998,21,17.5,271.7798869
"SWH","Small toothed whales",7,4,271.78,28,24.5,271.7799999
"SWH","Small toothed whales",7,5,271.78,35,31.5,271.78
"SWH","Small toothed whales",7,6,271.78,42,38.5,271.78
"SWH","Small toothed whales",7,7,271.78,49,45.5,271.78
"SWH","Small toothed whales",7,8,271.78,56,52.5,271.78
"SWH","Small toothed whales",7,9,271.78,63,59.5,271.78
"SWH","Small toothed whales",7,10,271.78,70,66.5,271.78
"SMO","Smooth dogfish",5,1,85.00987768,5,2.5,42.50493884
"SMO","Smooth dogfish",5,2,114.8636821,10,7.5,99.93677989
"SMO","Smooth dogfish",5,3,131.0038696,15,12.5,122.93377585
"SMO","Smooth dogfish",5,4,139.7299151,20,17.5,135.36689235
"SMO","Smooth dogfish",5,5,144.4475721,25,22.5,142.0887436
"SMO","Smooth dogfish",5,6,146.9981304,30,27.5,145.72285125
"SMO","Smooth dogfish",5,7,148.3770665,35,32.5,147.68759845
"SMO","Smooth dogfish",5,8,149.1225758,40,37.5,148.74982115
"SMO","Smooth dogfish",5,9,149.5256286,45,42.5,149.3241022
"SMO","Smooth dogfish",5,10,149.7435354,50,47.5,149.634582
"DOG","Spiny dogfish",4,1,65.77819766,4,2,32.88909883
"DOG","Spiny dogfish",4,2,84.26927743,8,6,75.023737545
"DOG","Spiny dogfish",4,3,89.46735282,12,10,86.868315125
"DOG","Spiny dogfish",4,4,90.92859728,16,14,90.19797505
"DOG","Spiny dogfish",4,5,91.3393715,20,18,91.13398439
"DOG","Spiny dogfish",4,6,91.45484531,24,22,91.397108405
"DOG","Spiny dogfish",4,7,91.48730645,28,26,91.47107588
"DOG","Spiny dogfish",4,8,91.49643168,32,30,91.491869065
"DOG","Spiny dogfish",4,9,91.4989969,36,34,91.49771429
"DOG","Spiny dogfish",4,10,91.49971802,40,38,91.49935746
"STB","Striped bass",2,1,60.20975062,2,1,30.10487531
"STB","Striped bass",2,2,74.73954061,4,3,67.474645615
"STB","Striped bass",2,3,83.78444025,6,5,79.26199043
"STB","Striped bass",2,4,89.41495588,8,7,86.599698065
"STB","Striped bass",2,5,92.9199927,10,9,91.16747429
"STB","Striped bass",2,6,95.10190353,12,11,94.010948115
"STB","Striped bass",2,7,96.46015885,14,13,95.78103119
"STB","Striped bass",2,8,97.30568264,16,15,96.882920745
"STB","Striped bass",2,9,97.83202733,18,17,97.568854985
"STB","Striped bass",2,10,98.15968072,20,19,97.995854025
"SUF","Summer flounder",2,1,40.83148763,2,1,20.415743815
"SUF","Summer flounder",2,2,62.25423973,4,3,51.54286368
"SUF","Summer flounder",2,3,73.49395531,6,5,67.87409752
"SUF","Summer flounder",2,4,79.39101305,8,7,76.44248418
"SUF","Summer flounder",2,5,82.48497836,10,9,80.937995705
"SUF","Summer flounder",2,6,84.10826607,12,11,83.296622215
"SUF","Summer flounder",2,7,84.95994432,14,13,84.534105195
"SUF","Summer flounder",2,8,85.406788,16,15,85.18336616
"SUF","Summer flounder",2,9,85.64123014,18,17,85.52400907
"SUF","Summer flounder",2,10,85.76423315,20,19,85.702731645
"TAU","Tautog",2,1,18.97210625,2,1,9.486053125
"TAU","Tautog",2,2,33.02698824,4,3,25.999547245
"TAU","Tautog",2,3,43.43910091,6,5,38.233044575
"TAU","Tautog",2,4,51.15258369,8,7,47.2958423
"TAU","Tautog",2,5,56.86687228,10,9,54.009727985
"TAU","Tautog",2,6,61.10012138,12,11,58.98349683
"TAU","Tautog",2,7,64.23618945,14,13,62.668155415
"TAU","Tautog",2,8,66.55944582,16,15,65.397817635
"TAU","Tautog",2,9,68.28055647,18,17,67.420001145
"TAU","Tautog",2,10,69.5555866,20,19,68.918071535
"TWH","Toothed whales",7,1,2613.374736,7,3.5,1306.687368
"TWH","Toothed whales",7,2,2615.757825,14,10.5,2614.5662805
"TWH","Toothed whales",7,3,2615.759998,21,17.5,2615.7589115
"TWH","Toothed whales",7,4,2615.76,28,24.5,2615.759999
"TWH","Toothed whales",7,5,2615.76,35,31.5,2615.76
"TWH","Toothed whales",7,6,2615.76,42,38.5,2615.76
"TWH","Toothed whales",7,7,2615.76,49,45.5,2615.76
"TWH","Toothed whales",7,8,2615.76,56,52.5,2615.76
"TWH","Toothed whales",7,9,2615.76,63,59.5,2615.76
"TWH","Toothed whales",7,10,2615.76,70,66.5,2615.76
"WHK","White hake",1,1,12.94211115,1,0.5,6.471055575
"WHK","White hake",1,2,24.65261758,2,1.5,18.797364365
"WHK","White hake",1,3,35.24872199,3,2.5,29.950669785
"WHK","White hake",1,4,44.83647374,4,3.5,40.042597865
"WHK","White hake",1,5,53.51183028,5,4.5,49.17415201
"WHK","White hake",1,6,61.36161749,6,5.5,57.436723885
"WHK","White hake",1,7,68.46439868,7,6.5,64.913008085
"WHK","White hake",1,8,74.89126088,8,7.5,71.67782978
"WHK","White hake",1,9,80.70652628,9,8.5,77.79889358
"WHK","White hake",1,10,85.968396,10,9.5,83.33746114
"WPF","Windowpane flounder",2,1,20.61930823,2,1,10.309654115
"WPF","Windowpane flounder",2,2,31.93542452,4,3,26.277366375
"WPF","Windowpane flounder",2,3,38.14584081,6,5,35.040632665
"WPF","Windowpane flounder",2,4,41.55418953,8,7,39.85001517
"WPF","Windowpane flounder",2,5,43.42473098,10,9,42.489460255
"WPF","Windowpane flounder",2,6,44.45130588,12,11,43.93801843
"WPF","Windowpane flounder",2,7,45.01470214,14,13,44.73300401
"WPF","Windowpane flounder",2,8,45.32390056,16,15,45.16930135
"WPF","Windowpane flounder",2,9,45.49359225,18,17,45.408746405
"WPF","Windowpane flounder",2,10,45.58672103,20,19,45.54015664
"WIF","Winter flounder",2,1,38.0362156,2,1,19.0181078
"WIF","Winter flounder",2,2,52.66608921,4,3,45.351152405
"WIF","Winter flounder",2,3,58.43836012,6,5,55.552224665
"WIF","Winter flounder",2,4,60.71583103,8,7,59.577095575
"WIF","Winter flounder",2,5,61.61441563,10,9,61.16512333
"WIF","Winter flounder",2,6,61.96895551,12,11,61.79168557
"WIF","Winter flounder",2,7,62.10884054,14,13,62.038898025
"WIF","Winter flounder",2,8,62.1640327,16,15,62.13643662
"WIF","Winter flounder",2,9,62.18580897,18,17,62.174920835
"WIF","Winter flounder",2,10,62.19440088,20,19,62.190104925
"WSK","Winter skate",3,1,51.43547349,3,1.5,25.717736745
"WSK","Winter skate",3,2,79.66385984,6,4.5,65.549666665
"WSK","Winter skate",3,3,95.15592674,9,7.5,87.40989329
"WSK","Winter skate",3,4,103.6581533,12,10.5,99.40704002
"WSK","Winter skate",3,5,108.3242742,15,13.5,105.99121375
"WSK","Winter skate",3,6,110.8850956,18,16.5,109.6046849
"WSK","Winter skate",3,7,112.2905042,21,19.5,111.5877999
"WSK","Winter skate",3,8,113.0618088,24,22.5,112.6761565
"WSK","Winter skate",3,9,113.4851098,27,25.5,113.2734593
"WSK","Winter skate",3,10,113.7174223,30,28.5,113.60126605
"WTF","Witch flounder",2,1,15.54583725,2,1,7.772918625
"WTF","Witch flounder",2,2,27.09707854,4,3,21.321457895
"WTF","Witch flounder",2,3,35.68015921,6,5,31.388618875
"WTF","Witch flounder",2,4,42.05776592,8,7,38.868962565
"WTF","Witch flounder",2,5,46.79660839,10,9,44.427187155
"WTF","Witch flounder",2,6,50.31777691,12,11,48.55719265
"WTF","Witch flounder",2,7,52.9341601,14,13,51.625968505
"WTF","Witch flounder",2,8,54.87824797,16,15,53.906204035
"WTF","Witch flounder",2,9,56.32279081,18,17,55.60051939
"WTF","Witch flounder",2,10,57.39614972,20,19,56.859470265
"WOL","Wolffish",2,1,19.12211344,2,1,9.56105672
"WOL","Wolffish",2,2,35.92995333,4,3,27.526033385
"WOL","Wolffish",2,3,50.703607,6,5,43.316780165
"WOL","Wolffish",2,4,63.68926396,8,7,57.19643548
"WOL","Wolffish",2,5,75.10331835,10,9,69.396291155
"WOL","Wolffish",2,6,85.135975,12,11,80.119646675
"WOL","Wolffish",2,7,93.954419,14,13,89.545197
"WOL","Wolffish",2,8,101.7056017,16,15,97.83001035
"WOL","Wolffish",2,9,108.5186895,18,17,105.1121456
"WOL","Wolffish",2,10,114.5072163,20,19,111.5129529
"YTF","Yellowtail flounder",1,1,14.23309568,1,0.5,7.11654784
"YTF","Yellowtail flounder",1,2,24.41457111,2,1.5,19.323833395
"YTF","Yellowtail flounder",1,3,31.69776826,3,2.5,28.056169685
"YTF","Yellowtail flounder",1,4,36.90771657,4,3.5,34.302742415
"YTF","Yellowtail flounder",1,5,40.63459103,5,4.5,38.7711538
"YTF","Yellowtail flounder",1,6,43.30056627,6,5.5,41.96757865
"YTF","Yellowtail flounder",1,7,45.20763989,7,6.5,44.25410308
"YTF","Yellowtail flounder",1,8,46.57184229,8,7.5,45.88974109
"YTF","Yellowtail flounder",1,9,47.54770823,9,8.5,47.05977526
"YTF","Yellowtail flounder",1,10,48.24578229,10,9.5,47.89674526
